iter	Passed	Remaining
0	1	176
1	3	165
2	3	127
3	4	106
4	4	94
5	5	86
6	6	82
7	6	80
8	7	78
9	8	76
10	9	74
11	9	71
12	10	69
13	10	67
14	11	64
15	11	62
16	12	61
17	13	59
18	13	57
19	14	56
20	14	55
21	15	55
22	16	55
23	17	56
24	18	56
25	19	56
26	20	55
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	23	48
33	24	47
34	25	46
35	25	45
36	26	44
37	27	44
38	27	43
39	28	42
40	29	41
41	29	40
42	29	39
43	30	38
44	30	37
45	31	36
46	31	36
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	30
54	36	29
55	37	29
56	37	28
57	38	27
58	38	26
59	39	26
60	39	25
61	40	24
62	40	24
63	41	23
64	42	22
65	42	21
66	43	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	62	1
98	63	0
99	63	0
